iter	RMSE
229	2998.596915
230	2995.530994
231	2994.434581
232	2987.549919
233	2982.729813
234	2979.602108
235	2971.817463
236	2968.422303
237	2966.621117
238	2962.171053
239	2958.612069
240	2950.355277
241	2946.254527
242	2945.178561
243	2940.46911
244	2934.37777
245	2930.221895
246	2925.198241
247	2922.987055
248	2917.326318
249	2913.790828
250	2911.465056
251	2908.965494
252	2907.157164
253	2904.902594
254	2896.176761
255	2893.930995
256	2892.292348
257	2889.784667
258	2886.829982
259	2883.619105
260	2878.222692
261	2877.131306
262	2874.458067
263	2870.941891
264	2865.823632
265	2863.401081
266	2860.937368
267	2857.723431
268	2855.046581
269	2852.381434
270	2849.77947
271	2848.70235
272	2844.975172
273	2843.627069
274	2840.159677
275	2835.716191
276	2831.124897
277	2827.171322
278	2824.717655
279	2820.478617
280	2816.020824
281	2811.764148
282	2805.956597
283	2802.461982
284	2799.670188
285	2794.257004
286	2792.379479
287	2789.109825
288	2784.081502
289	2781.926736
290	2778.264179
291	2775.220976
292	2771.901015
293	2768.351326
294	2765.971201
295	2764.896272
296	2762.420704
297	2758.020038
298	2753.493917
299	2751.626295
300	2746.517795
301	2741.54845
302	2739.709273
303	2734.797116
304	2732.983844
305	2730.964772
306	2728.965906
307	2722.477391
308	2720.100028
309	2717.652384
310	2716.03609
311	2708.326169
312	2706.351228
313	2699.800493
314	2694.729567
315	2691.909363
316	2687.91779
317	2686.331332
318	2681.310886
319	2676.555549
320	2672.733317
321	2669.610477
322	2667.237986
323	2664.885489
324	2662.901892
325	2660.859848
326	2655.14686
327	2653.134462
328	2645.74539
329	2642.693857
330	2640.025062
331	2636.533492
332	2634.874371
333	2631.873771
334	2629.928219
335	2628.71681
336	2622.678947
337	2618.719391
338	2617.538145
339	2615.60901
340	2612.191719
341	2609.66046
342	2607.8119
343	2606.268691
344	2604.474163
345	2603.196867
346	2598.250878
347	2594.516934
348	2593.024569
349	2591.219564
350	2587.431825
351	2585.200358
352	2583.355421
353	2582.307583
354	2577.309639
355	2574.673635
356	2572.009262
357	2569.471198
358	2564.203904
359	2558.985581
360	2553.098894
361	2550.356555
362	2547.800088
363	2544.639743
364	2543.722305
365	2543.00699
366	2536.782729
367	2535.138193
368	2532.77562
369	2531.406538
370	2525.488598
371	2524.722892
372	2523.479353
373	2521.251498
374	2519.273049
375	2517.038334
376	2513.271057
377	2511.131491
378	2508.544454
379	2504.989403
380	2503.972559
381	2499.519288
382	2498.312288
383	2496.660434
384	2495.154632
385	2493.109829
386	2485.897923
387	2483.073811
388	2481.089198
389	2477.727257
390	2475.586393
391	2471.974817
392	2467.370002
393	2466.344848
394	2463.180188
395	2461.551611
396	2459.661723
397	2458.302404
398	2455.561674
399	2450.273452
400	2447.443005
401	2442.490174
402	2439.112513
403	2434.62544
404	2434.118144
405	2431.907026
406	2429.750678
407	2428.908973
408	2428.042181
409	2423.862356
410	2420.993345
411	2416.873992
412	2415.41135
413	2414.388529
414	2407.159705
415	2405.62557
416	2401.802539
417	2400.632325
418	2400.149777
419	2394.616203
420	2393.724158
421	2392.472775
422	2386.324654
423	2381.526853
424	2378.172268
425	2375.394569
426	2373.367636
427	2371.877878
428	2368.604112
429	2364.301479
430	2361.51171
431	2359.281029
432	2357.769005
433	2353.01591
434	2350.227274
435	2348.473753
436	2344.568077
437	2343.477004
438	2338.767744
439	2337.00313
440	2334.368535
441	2332.457127
442	2328.096262
443	2322.597427
444	2320.267682
445	2317.391613
446	2310.736699
447	2306.133922
448	2302.386251
449	2297.605986
450	2291.922309
451	2288.973876
452	2287.361544
453	2285.293584
454	2282.676618
455	2279.720695
456	2274.230047
457	2272.230293
458	2271.333666
459	2267.881245
460	2266.22095
461	2264.959983
462	2263.17236
463	2260.024589
464	2257.672399
465	2256.293317
466	2252.633897
467	2251.46311
468	2250.243819
469	2250.129082
470	2246.953522
471	2243.730218
472	2240.25172
473	2239.400996
474	2238.154672
475	2232.789945
476	2231.935646
477	2229.122885
478	2227.540075
479	2223.774255
480	2221.361682
481	2218.964138
482	2213.865009
483	2212.852504
484	2211.681401
485	2209.242584
486	2205.060463
487	2203.05194
488	2200.182509
489	2195.50952
490	2194.68394
491	2193.229745
492	2191.195503
493	2188.726897
494	2186.590468
495	2181.808061
496	2179.590012
497	2175.929705
498	2174.233132
499	2171.463285
500	2167.759754
501	2166.039471
502	2161.442065
503	2158.94254
504	2154.855637
505	2150.424802
506	2146.874773
507	2145.248953
508	2141.971568
509	2138.919003
510	2134.407933
511	2131.57422
512	2128.811758
513	2126.256356
514	2123.407175
515	2120.880244
516	2119.447178
517	2117.657613
518	2116.296955
519	2114.056248
520	2112.763476
521	2110.526062
522	2105.670652
523	2102.418348
524	2102.078121
525	2100.264437
526	2097.441492
527	2096.258437
528	2095.186858
529	2093.813783
530	2090.919414
531	2086.459502
532	2084.816673
533	2081.323948
534	2079.825587
535	2078.310967
536	2074.89084
537	2071.978113
538	2070.897102
539	2069.418017
540	2066.207589
541	2063.350074
542	2060.548476
543	2059.291122
544	2057.233936
545	2052.732116
546	2051.016297
547	2048.02336
548	2044.656029
549	2043.645263
550	2040.619671
551	2039.19848
552	2038.320862
553	2036.249749
554	2034.390997
555	2033.004754
556	2030.622475
557	2028.018836
558	2024.636763
559	2022.820627
560	2019.895795
561	2018.436496
562	2016.942688
563	2014.540349
564	2013.701394
565	2011.425034
566	2008.682936
567	2006.641098
568	2000.962367
569	1996.628145
570	1994.311647
571	1990.141225
572	1989.440712
573	1986.210042
574	1983.083689
575	1981.821718
576	1979.95743
577	1977.255109
578	1974.08616
579	1970.994793
580	1970.221516
581	1967.48949
582	1966.039605
583	1963.217893
584	1961.828961
585	1959.941773
586	1958.941197
587	1954.578103
588	1952.246902
589	1951.281453
590	1949.190474
591	1946.862121
592	1942.759633
593	1941.201234
594	1937.052778
595	1933.109672
596	1932.850241
597	1930.410162
598	1927.530618
599	1926.080757
600	1924.941925
601	1922.10856
602	1920.401691
603	1917.346924
604	1915.465495
605	1914.704057
606	1913.653734
607	1912.433095
608	1908.781025
609	1905.838613
610	1904.826377
611	1902.081823
612	1900.458845
613	1899.08194
614	1897.460814
615	1895.942901
616	1893.312367
617	1892.945665
618	1891.977436
619	1889.166506
620	1887.406626
621	1886.250853
622	1885.321993
623	1882.591771
624	1880.102718
625	1876.448255
626	1874.935228
627	1873.056077
628	1871.923843
629	1870.871689
630	1870.171272
631	1867.26911
632	1864.510723
633	1860.79617
634	1857.535336
635	1855.89126
636	1853.959934
637	1852.388577
638	1848.685182
639	1847.02444
640	1843.566129
641	1841.160993
642	1839.088318
643	1837.738413
644	1835.400527
645	1834.906852
646	1830.948888
647	1827.478162
648	1824.257461
649	1822.247507
650	1819.848639
651	1817.411281
652	1815.365599
653	1812.984306
654	1809.98885
655	1807.775453
656	1806.983512
657	1803.324712
658	1803.088423
659	1801.599822
660	1797.926019
661	1797.437695
662	1793.78756
663	1791.844358
664	1789.364722
665	1788.769189
666	1787.31254
667	1784.436591
668	1782.491605
669	1780.034874
670	1778.019714
671	1775.830532
672	1772.396169
673	1769.446239
674	1765.882123
675	1765.017783
676	1761.18411
677	1758.07503
678	1757.353116
679	1752.322268
680	1748.852064
681	1745.578165
682	1743.474566
683	1742.811534
684	1742.265509
685	1738.23968
686	1736.354083
687	1735.508855
688	1734.848218
689	1733.573427
690	1730.781365
691	1727.406676
692	1725.577217
693	1722.419049
694	1721.218282
695	1717.958393
696	1716.118589
697	1713.586906
698	1711.463344
699	1710.109709
700	1708.74705
701	1706.827754
702	1706.202018
703	1703.603747
704	1702.279202
705	1701.604025
706	1698.353914
707	1695.894878
708	1692.812529
709	1689.541763
710	1688.559501
711	1686.496518
712	1683.872842
713	1681.281109
714	1678.016909
715	1676.07169
716	1675.480401
717	1673.50176
718	1673.014289
719	1670.616532
720	1667.150272
721	1664.631432
722	1663.573824
723	1662.468383
724	1662.026088
725	1658.961484
726	1657.728871
727	1656.273563
728	1653.114685
729	1652.205056
730	1650.222523
731	1646.324448
732	1644.930475
733	1644.527842
734	1642.634656
735	1639.389495
736	1637.889282
737	1636.190899
738	1634.022544
739	1631.890988
740	1630.00032
741	1629.491487
742	1628.061994
743	1625.057435
744	1622.050543
745	1619.985404
746	1618.718047
747	1617.272288
748	1615.222926
749	1612.724363
750	1609.772508
751	1608.682385
752	1606.465169
753	1605.070958
754	1603.454302
755	1600.569088
756	1598.225579
757	1595.273298
758	1594.32773
759	1593.214942
760	1589.746633
761	1586.537964
762	1585.0469
763	1581.933551
764	1581.420269
765	1578.22051
766	1575.249506
767	1574.712277
768	1573.793697
769	1571.240999
770	1569.67965
771	1567.331575
772	1567.053153
773	1563.507896
774	1562.401548
775	1560.484152
776	1559.739074
777	1558.672983
778	1555.825286
779	1554.883168
780	1554.039509
781	1553.441715
782	1551.139028
783	1548.346573
784	1547.144237
785	1546.501431
786	1544.92464
787	1544.087903
788	1542.200816
789	1541.579368
790	1539.581986
791	1538.461662
792	1537.378757
793	1534.380726
794	1532.665313
795	1530.863633
796	1528.890387
797	1527.363067
798	1524.345834
799	1522.949272
800	1521.678486
801	1519.858085
802	1516.587408
803	1515.673413
804	1512.795524
805	1509.867749
806	1509.31428
807	1507.765705
808	1506.12175
809	1504.841402
810	1504.296309
811	1503.30939
812	1502.848862
813	1501.024425
814	1499.634961
815	1497.280327
816	1494.403929
817	1492.296996
818	1489.768504
819	1488.592243
820	1486.844231
821	1483.882342
822	1480.749176
823	1477.977414
824	1477.619441
825	1476.765734
826	1475.141313
827	1473.390283
828	1472.938057
829	1471.577109
830	1469.672182
831	1469.133476
832	1467.722643
833	1464.599612
834	1462.453088
835	1459.957491
836	1459.543923
837	1457.592957
838	1457.17531
839	1456.44675
840	1454.929344
841	1453.796992
842	1453.001966
843	1451.72118
844	1450.905498
845	1448.216112
846	1447.169458
847	1444.661831
848	1441.959183
849	1438.57559
850	1436.589137
851	1434.44945
852	1431.894469
853	1429.457176
854	1428.412881
855	1426.629059
856	1424.944731
857	1423.039269
858	1422.345242
859	1420.76746
860	1418.515849
861	1417.025616
862	1416.25229
863	1414.607633
864	1414.329545
865	1411.835484
866	1411.358307
867	1409.530223
868	1408.004579
869	1406.758229
870	1404.941066
871	1403.924109
872	1403.427186
873	1402.135001
874	1399.897595
875	1399.132765
876	1398.301893
877	1397.589723
878	1395.292594
879	1393.783599
880	1393.108523
881	1390.648431
882	1388.73914
883	1386.55892
884	1386.141501
885	1383.683582
886	1382.522271
887	1379.138107
888	1377.854931
889	1375.512676
890	1373.540431
891	1372.750802
892	1371.267579
893	1370.536558
894	1368.666828
895	1367.50665
896	1365.486529
897	1363.989011
898	1361.629885
899	1359.185136
900	1357.593987
901	1354.697781
902	1352.00982
903	1351.292141
904	1350.957009
905	1349.465352
906	1347.213865
907	1345.888
908	1344.767035
909	1342.857153
910	1341.432673
911	1339.753898
912	1338.160027
913	1336.037427
914	1333.911419
915	1332.839404
916	1331.971634
917	1331.305293
918	1329.512942
919	1327.797215
920	1325.128359
921	1324.008845
922	1322.252144
923	1320.498263
924	1318.885555
925	1318.483674
926	1316.986678
927	1316.290154
928	1314.257028
929	1311.765684
930	1310.978944
931	1310.197707
932	1307.877463
933	1306.928417
934	1304.33404
935	1303.073954
936	1301.784752
937	1300.908409
938	1299.841035
939	1298.061288
940	1296.514373
941	1294.975264
942	1293.763017
943	1292.727367
944	1290.743136
945	1289.974524
946	1289.128238
947	1288.217709
948	1287.607028
949	1285.436003
950	1284.897164
951	1282.936669
952	1282.49303
953	1281.631574
954	1281.129494
955	1280.031774
956	1279.325467
957	1277.838301
958	1276.943123
959	1275.875097
960	1275.106253
961	1273.648373
962	1271.986235
963	1271.152323
964	1269.495701
965	1268.540732
966	1266.936053
967	1266.239696
968	1265.703436
969	1265.168046
970	1263.954312
971	1262.499971
972	1261.822674
973	1259.921024
974	1257.929078
975	1257.269651
976	1256.703359
977	1255.586541
978	1254.273753
979	1252.170795
980	1250.421148
981	1249.337045
982	1248.997003
983	1247.463198
984	1246.04417
985	1245.18442
986	1243.222574
987	1241.508751
988	1240.170393
989	1238.309488
990	1237.386852
991	1235.759878
992	1234.386593
993	1233.571075
994	1233.282008
995	1231.972802
996	1231.420021
997	1230.224889
998	1229.012649
999	1227.380965
